"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Login with null email and null password","SUCCESS","2022-11-07T14:13:42.56105+07:00[Asia/Bangkok]","0.0","14.66"
"Login","Login with invalid email and null password","SUCCESS","2022-11-07T14:13:57.2383137+07:00[Asia/Bangkok]","0.0","12.62"
"Login","Login with null email and invalid password","SUCCESS","2022-11-07T14:14:09.8675446+07:00[Asia/Bangkok]","0.0","13.23"
"Login","Login with valid email and null password","SUCCESS","2022-11-07T14:14:23.1049102+07:00[Asia/Bangkok]","0.0","12.88"
"Login","Login with null email and valid password","SUCCESS","2022-11-07T14:14:36.0047639+07:00[Asia/Bangkok]","0.0","13.26"
"Login","Login with valid email and valid password","SUCCESS","2022-11-07T14:14:49.2717405+07:00[Asia/Bangkok]","0.0","23.98"
"Logout","Logout from product page","SUCCESS","2022-11-07T14:15:13.257714+07:00[Asia/Bangkok]","0.0","14.8"
"Register","Register with null fullname null email null password","SUCCESS","2022-11-07T14:15:28.0628172+07:00[Asia/Bangkok]","0.0","16.45"
"Register","Register with valid fullname null email null password","SUCCESS","2022-11-07T14:15:44.5270928+07:00[Asia/Bangkok]","0.0","16.94"
"Register","Register with null fullname valid email null password","SUCCESS","2022-11-07T14:16:01.4703439+07:00[Asia/Bangkok]","0.0","15.9"
"Register","Register with null fullname null email valid password","SUCCESS","2022-11-07T14:16:17.3787351+07:00[Asia/Bangkok]","0.0","15.44"
